Line Item,Position of pod,Month and year,Delivery Indicator,Ad server impressions,Ad server clicks
Pretty Little Liars 30/15/10 sec,Pre-roll,Mar-25,94.47,"227,047",212
Pretty Little Liars 30/15/10 sec,Mid-roll 7,Mar-25,94.47,71,0
Pretty Little Liars 30/15/10 sec,Mid-roll 8,Mar-25,94.47,76,0
Pretty Little Liars 30/15/10 sec,Mid-roll 9,Mar-25,94.47,27,0
Pretty Little Liars 30/15/10 sec,Mid-roll 10,Mar-25,94.47,1,0
Pretty Little Liars 30/15/10 sec,Mid-roll 1,Mar-25,94.47,"234,717",112
Pretty Little Liars 30/15/10 sec,Mid-roll 2,Mar-25,94.47,"96,579",58
Pretty Little Liars 30/15/10 sec,Mid-roll 3,Mar-25,94.47,"4,858",6
Pretty Little Liars 30/15/10 sec,Mid-roll 4,Mar-25,94.47,"1,735",0
Pretty Little Liars 30/15/10 sec,Mid-roll 5,Mar-25,94.47,"1,541",1
Pretty Little Liars 30/15/10 sec,Mid-roll 6,Mar-25,94.47,203,2
Docs On RTE 2025 Phase 2,Pre-roll,Mar-25,100.12,"72,655",127
Docs On RTE 2025 Phase 2,Mid-roll 7,Mar-25,100.12,54,0
Docs On RTE 2025 Phase 2,Mid-roll 8,Mar-25,100.12,59,0
Docs On RTE 2025 Phase 2,Mid-roll 9,Mar-25,100.12,23,0
Docs On RTE 2025 Phase 2,Mid-roll 1,Mar-25,100.12,"85,964",70
Docs On RTE 2025 Phase 2,Mid-roll 2,Mar-25,100.12,"37,562",50
Docs On RTE 2025 Phase 2,Mid-roll 3,Mar-25,100.12,"1,996",4
Docs On RTE 2025 Phase 2,Mid-roll 4,Mar-25,100.12,925,3
Docs On RTE 2025 Phase 2,Mid-roll 5,Mar-25,100.12,918,0
Docs On RTE 2025 Phase 2,Mid-roll 6,Mar-25,100.12,99,0
Celebrating Irish 60/30,Pre-roll,Mar-25,88.75,"201,991",417
Celebrating Irish 60/30,Mid-roll 7,Mar-25,88.75,73,0
Celebrating Irish 60/30,Mid-roll 8,Mar-25,88.75,77,0
Celebrating Irish 60/30,Mid-roll 9,Mar-25,88.75,29,0
Celebrating Irish 60/30,Mid-roll 10,Mar-25,88.75,4,0
Celebrating Irish 60/30,Mid-roll 1,Mar-25,88.75,"209,230",221
Celebrating Irish 60/30,Mid-roll 2,Mar-25,88.75,"87,054",101
Celebrating Irish 60/30,Mid-roll 3,Mar-25,88.75,"4,231",11
Celebrating Irish 60/30,Mid-roll 4,Mar-25,88.75,"1,579",5
Celebrating Irish 60/30,Mid-roll 5,Mar-25,88.75,"1,448",2
Celebrating Irish 60/30,Mid-roll 6,Mar-25,88.75,161,0
UEFA Nations League ROI V Bulgaria,Pre-roll,Mar-25,99.45,"80,624",115
UEFA Nations League ROI V Bulgaria,Mid-roll 7,Mar-25,99.45,14,0
UEFA Nations League ROI V Bulgaria,Mid-roll 8,Mar-25,99.45,10,0
UEFA Nations League ROI V Bulgaria,Mid-roll 9,Mar-25,99.45,2,0
UEFA Nations League ROI V Bulgaria,Mid-roll 1,Mar-25,99.45,"80,034",40
UEFA Nations League ROI V Bulgaria,Mid-roll 2,Mar-25,99.45,"34,687",22
UEFA Nations League ROI V Bulgaria,Mid-roll 3,Mar-25,99.45,"2,103",2
UEFA Nations League ROI V Bulgaria,Mid-roll 4,Mar-25,99.45,715,1
UEFA Nations League ROI V Bulgaria,Mid-roll 5,Mar-25,99.45,670,0
UEFA Nations League ROI V Bulgaria,Mid-roll 6,Mar-25,99.45,58,0
Six Nations 2025 Final,Pre-roll,Mar-25,100.17,"38,367",29
Six Nations 2025 Final,Mid-roll 7,Mar-25,100.17,5,1
Six Nations 2025 Final,Mid-roll 8,Mar-25,100.17,4,0
Six Nations 2025 Final,Mid-roll 9,Mar-25,100.17,5,0
Six Nations 2025 Final,Mid-roll 1,Mar-25,100.17,"43,385",17
Six Nations 2025 Final,Mid-roll 2,Mar-25,100.17,"17,546",5
Six Nations 2025 Final,Mid-roll 3,Mar-25,100.17,516,0
