Line Item,Month and year,Delivery Indicator,Ad server impressions,Ad server clicks
Pretty Little Liars 30/15/10 sec,Mar-25,94.47,566855,391
Docs On RTE 2025 Phase 2,Mar-25,100.12,200255,254
Celebrating Irish 60/30,Mar-25,88.75,505877,757
UEFA Nations League ROI V Bulgaria,Mar-25,99.45,198917,180
Six Nations 2025 Final,Mar-25,100.17,100176,52
TV Licence March,Mar-25,100,400032,309
Women's Six Nations 2025 Launch,Mar-25,100.08,200166,197
Dive In Crime MA 45/30,Mar-25,85.11,680926,1223
Womens Six Nations 2025 Generic,Mar-25,86.34,172686,230
Playing Nice 30/15,Apr-25,95.34,572099,430
1883,Mar-25,100.05,600322,740
Clar Faisneise ar RTE,Apr-25,96.21,769722,841
GAA Launch 2025,Apr-25,100.23,110260,117
Womens Six Nations 2025 Ire V Eng,Apr-25,97.07,194160,260
Investec Champs Cup Leinster V Harlequins,Apr-25,99.45,139235,193
Womens Six Nations 2025 Ire V Wales,Apr-25,99.65,199317,178
UCL Apr 30th,Apr-25,68.73,137465,193
Bad Nanny/Murder at the End/Annika,Apr-25,77.92,623403,620
GAA May 4th 2025,Apr-25,82.37,164744,144
RTE Kids Easter 2025,Apr-25,96.08,576521,646
GAA Apr 19/20 2025,Apr-25,100.16,200321,266
Look Whos Hangry,Apr-25,95.58,573516,365
TV Licence April,Apr-25,97.43,389745,268
GAA Apr 12/13 2025,Apr-25,97.85,195701,404
The Handmaid's Tale MA,Apr-25,85.63,513805,474
GAA May 10th-11th 2025,May-25,86.86,173734,94
Uncharted with Ray Goggins,May-25,52.84,422735,392
Dive In New Burst,May-25,89.01,449632,520
UEFA Womens Nations League/ROI Friendly,Jun-25,91.07,182160,189
Hell For Leather,Jun-25,92.82,323856,322
Look Whos Hangry wk4,May-25,9.57,19157,9
GAA 17-18 May,May-25,83.72,167451,185
TV Licence May,May-25,54.96,219843,166
TV Licence June,Jun-25,90.36,93933,65
GAA 7th/8th June,Jun-25,61.62,61628,61
Uncharted ep4/30 Rock/Little Fires,Jun-25,87.41,170785,112
Stolen Sister,Jun-25,80.38,50118,70
